Bird Name	Folder
Elegant Tern	Elegant_Tern
Elegant Trogon	Elegant_Trogon
Elf Owl	Elf_Owl
Emperor Goose	Emperor_Goose
Erckel's Spurfowl	Erckels_Spurfowl
Eskimo Curlew	Eskimo_Curlew
Eurasian (Common) Hoopoe	Eurasian_(Common)_Hoopoe
Eurasian (Common) Moorhen	Eurasian_(Common)_Moorhen
Eurasian Blackbird	Eurasian_Blackbird
Eurasian Bullfinch	Eurasian_Bullfinch
Eurasian Collared-Dove	Eurasian_Collared-Dove
Eurasian Coot	Eurasian_Coot
Eurasian Curlew	Eurasian_Curlew
Eurasian Dotterel	Eurasian_Dotterel
Eurasian Hobby	Eurasian_Hobby
Eurasian Jackdaw	Eurasian_Jackdaw
Eurasian Kestrel	Eurasian_Kestrel
Eurasian Oystercatcher	Eurasian_Oystercatcher
Eurasian Siskin	Eurasian_Siskin
Eurasian Skylark	Eurasian_Skylark
Eurasian Sparrowhawk	Eurasian_Sparrowhawk
Eurasian Tree Sparrow	Eurasian_Tree_Sparrow
Eurasian Whimbrel	Eurasian_Whimbrel
Eurasian Wigeon	Eurasian_Wigeon
Eurasian Woodcock	Eurasian_Woodcock
Eurasian Wryneck	Eurasian_Wryneck
European Golden-Plover	European_Golden-Plover
European Goldfinch	European_Goldfinch
European Herring Gull	European_Herring_Gull
European Robin	European_Robin
European Starling	European_Starling
European Storm-Petrel	European_Storm-Petrel
European Turtle-Dove	European_Turtle-Dove
Evening Grosbeak	Evening_Grosbeak
Eyebrowed Thrush	Eyebrowed_Thrush
Falcated Duck	Falcated_Duck
Fan-tailed Warbler	Fan-tailed_Warbler
Far Eastern Curlew	Far_Eastern_Curlew
Ferruginous Hawk	Ferruginous_Hawk
Ferruginous Pygmy-Owl	Ferruginous_Pygmy-Owl
Field Sparrow	Field_Sparrow
Fieldfare	Fieldfare
Fish Crow	Fish_Crow
Five-striped Sparrow	Five-striped_Sparrow
Flame-colored Tanager	Flame-colored_Tanager
Flammulated Owl	Flammulated_Owl
Flesh-footed Shearwater	Flesh-footed_Shearwater
Florida Scrub-Jay	Florida_Scrub-Jay
Fork-tailed Flycatcher	Fork-tailed_Flycatcher
Fork-tailed Storm-Petrel	Fork-tailed_Storm-Petrel
Forster's Tern	Forsters_Tern
Fox Sparrow	Fox_Sparrow
Franklin's Gull	Franklins_Gull
Fulvous Whistling-Duck	Fulvous_Whistling-Duck
Gadwall	Gadwall
Gambel's Quail	Gambels_Quail
Garganey	Garganey
Gila Woodpecker	Gila_Woodpecker
Gilded Flicker	Gilded_Flicker
Glaucous Gull	Glaucous_Gull
Glaucous-winged Gull	Glaucous-winged_Gull
Glossy Ibis	Glossy_Ibis
Golden Eagle	Golden_Eagle
Golden Pheasant	Golden_Pheasant
Golden-cheeked Warbler	Golden-cheeked_Warbler
Golden-crowned Kinglet	Golden-crowned_Kinglet
Golden-crowned Sparrow	Golden-crowned_Sparrow
Golden-crowned Warbler	Golden-crowned_Warbler
Golden-fronted Woodpecker	Golden-fronted_Woodpecker
Golden-winged Warbler	Golden-winged_Warbler
Grace's Warbler	Graces_Warbler
Grasshopper Sparrow	Grasshopper_Sparrow
Gray Bunting	Gray_Bunting
Gray Catbird	Gray_Catbird
Gray Flycatcher	Gray_Flycatcher
Gray Francolin	Gray_Francolin
Gray Gull	Gray_Gull
Gray Hawk	Gray_Hawk
Gray Heron	Gray_Heron
Gray Kingbird	Gray_Kingbird
Gray Nightjar	Gray_Nightjar
Gray Partridge	Gray_Partridge
Gray Silky-flycatcher	Gray_Silky-flycatcher
Gray Thrasher	Gray_Thrasher
Gray Vireo	Gray_Vireo
Gray Wagtail	Gray_Wagtail
Gray-backed Tern	Gray-backed_Tern
Gray-breasted Martin	Gray-breasted_Martin
Gray-cheeked Thrush	Gray-cheeked_Thrush
Gray-collared Becard	Gray-collared_Becard
Gray-crowned Rosy-Finch	Gray-crowned_Rosy-Finch
Gray-crowned Yellowthroat	Gray-crowned_Yellowthroat
Gray-faced Petrel	Gray-faced_Petrel
Gray-headed (Purple) Swamphen	Gray-headed_(Purple)_Swamphen
Gray-headed Chickadee	Gray-headed_Chickadee
Gray-hooded Gull	Gray-hooded_Gull
Gray-streaked Flycatcher	Gray-streaked_Flycatcher
Gray-tailed Tattler	Gray-tailed_Tattler
Graylag Goose	Graylag_Goose
Great Auk	Great_Auk
Great Black Hawk	Great_Black_Hawk
Great Black-backed Gull	Great_Black-backed_Gull
Great Blue Heron	Great_Blue_Heron
Great Cormorant	Great_Cormorant
Great Crested Flycatcher	Great_Crested_Flycatcher
Great Crested Tern	Great_Crested_Tern
Great Egret	Great_Egret
Great Frigatebird	Great_Frigatebird
Great Gray Owl	Great_Gray_Owl
Great Horned Owl	Great_Horned_Owl
Great Kiskadee	Great_Kiskadee
Great Knot	Great_Knot
Great Shearwater	Great_Shearwater
Great Skua	Great_Skua
Great Spotted Woodpecker	Great_Spotted_Woodpecker
Great Tit	Great_Tit
Great White Pelican	Great_White_Pelican
Great-tailed Grackle	Great-tailed_Grackle
Greater Amakihi	Greater_Amakihi
Greater Koa-Finch	Greater_Koa-Finch
Greater Necklaced Laughingthrush	Greater_Necklaced_Laughingthrush
Greater Pewee	Greater_Pewee
